,,,,,All Type of Report (All Grades) for 01-Jan-2021 to 02-Jul-2026,,,,
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,27-03-2021,1424.60,Metric Tonnes,451.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,27-03-2021,44.40,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,30-03-2021,242.20,Metric Tonnes,1242.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,30-03-2021,245.00,Metric Tonnes,474.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,30-03-2021,14.00,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,31-03-2021,945.00,Metric Tonnes,1242.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,31-03-2021,480.00,Metric Tonnes,474.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,31-03-2021,36.70,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,05-04-2021,199.60,Metric Tonnes,546.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,05-04-2021,29.00,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,06-04-2021,1518.30,Metric Tonnes,611.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,06-04-2021,35.50,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,07-04-2021,996.20,Metric Tonnes,611.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,07-04-2021,38.00,Metric Tonnes,850.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,08-04-2021,1053.60,Metric Tonnes,611.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,08-04-2021,37.50,Metric Tonnes,850.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,09-04-2021,1203.20,Metric Tonnes,611.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,09-04-2021,41.30,Metric Tonnes,850.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,10-04-2021,998.50,Metric Tonnes,611.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,10-04-2021,36.60,Metric Tonnes,850.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,12-04-2021,199.20,Metric Tonnes,611.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,12-04-2021,34.80,Metric Tonnes,850.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,13-04-2021,1749.40,Metric Tonnes,611.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,13-04-2021,33.40,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,14-04-2021,1300.50,Metric Tonnes,663.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,14-04-2021,37.40,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,15-04-2021,1325.90,Metric Tonnes,663.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,15-04-2021,42.70,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,16-04-2021,1191.50,Metric Tonnes,663.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,16-04-2021,41.20,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,17-04-2021,1201.20,Metric Tonnes,663.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,17-04-2021,33.70,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,19-04-2021,113.90,Metric Tonnes,663.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,19-04-2021,20.40,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,20-04-2021,1001.70,Metric Tonnes,663.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,20-04-2021,32.50,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,21-04-2021,795.90,Metric Tonnes,657.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,21-04-2021,36.20,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,22-04-2021,1359.60,Metric Tonnes,1175.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,22-04-2021,42.10,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,23-04-2021,1097.50,Metric Tonnes,623.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,23-04-2021,29.20,Metric Tonnes,450.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,24-04-2021,571.90,Metric Tonnes,623.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,24-04-2021,29.90,Metric Tonnes,450.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,26-04-2021,113.50,Metric Tonnes,623.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,26-04-2021,21.70,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,27-04-2021,430.70,Metric Tonnes,717.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,27-04-2021,27.80,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,28-04-2021,597.70,Metric Tonnes,717.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,28-04-2021,28.00,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,29-04-2021,585.10,Metric Tonnes,717.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,29-04-2021,28.50,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,30-04-2021,598.00,Metric Tonnes,700.00,Rs./Quintal
